product_name,product_price,image_url,mega_category,main_category,sub_category,mega_category_url,main_category_url,sub_category_url
Disney Frozen Ficklampa 17 cm  - Blå,99.0,https://mymall.se/inredning-mobler/barnrummet/belysning/disney-frozen-ficklampa-17-cm-bl-1493-20779,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Disney Mimmi Pigg - Mini LED Lampa - Rosa,149.0,https://mymall.se/inredning-mobler/barnrummet/belysning/disney-mimmi-pigg-mini-led-lampa-rosa-1493-20782,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Paw Patrol 2in1 Projektor/Nattlampa,149.0,https://mymall.se/inredning-mobler/barnrummet/belysning/paw-patrol-2in1-projektornattlampa-1493-20784,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Disney Mimmi Pigg - 2in1 Projektor/Nattlampa,149.0,https://mymall.se/inredning-mobler/barnrummet/belysning/disney-mimmi-pigg-2in1-projektornattlampa-1493-20787,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Greta Gris Nattlampa,99.0,https://mymall.se/inredning-mobler/barnrummet/belysning/greta-gris-nattlampa-1493-20789,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Ljusslinga - stjärnor - smallstuff,199.0,https://mymall.se/inredning-mobler/barnrummet/belysning/ljusslinga-stjrnor-smallstuff-1528-f1c5790,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Nattlampa - Kanin - Diinglisar,259.0,https://mymall.se/inredning-mobler/barnrummet/belysning/nattlampa-kanin-diinglisar-1528-f1c5875,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Nattlampa - Pirat - Aloka,499.0,https://mymall.se/inredning-mobler/barnrummet/belysning/nattlampa-pirat-aloka-1528-f1c6352,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Nattlampa - Brandbil - Aloka,499.0,https://mymall.se/inredning-mobler/barnrummet/belysning/nattlampa-brandbil-aloka-1528-f1c6441,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
Nattlampa - Sweet Girl - Djeco,499.0,https://mymall.se/inredning-mobler/barnrummet/belysning/nattlampa-sweet-girl-djeco-1528-f1c6636,Inredning & Möbler,Barnrummet,Belysning,https://mymall.se/inredning-mobler,https://mymall.se/inredning-mobler/barnrummet,https://mymall.se/inredning-mobler/barnrummet/belysning
